user_a,user_b,story_id_jaccard,headline_jaccard,shared_story_ids,shared_headlines
U106375,U180334,0.0,0.0,0,0
U106375,U180819,0.0,0.0,0,0
U106375,U181126,0.0,0.0,0,0
U106375,U181262,0.0,0.0,0,0
U106375,U181651,0.0,0.0,0,0
U106375,U182142,0.0,0.0,0,0
U106375,U182700,0.0,0.0,0,0
U106375,U183599,0.05263157894736842,0.07692307692307693,1,1
U106375,U184807,0.05263157894736842,0.07142857142857142,1,1
U106375,U185064,0.0,0.0,0,0
U106375,U186120,0.0,0.0,0,0
U106375,U187013,0.05263157894736842,0.0625,1,1
U106375,U187634,0.0,0.0,0,0
U106375,U189372,0.05263157894736842,0.07692307692307693,1,1
U106375,U191317,0.0,0.0,0,0
U106375,U192165,0.05263157894736842,0.07692307692307693,1,1
U106375,U195252,0.0,0.0,0,0
U106375,U195502,0.8181818181818182,0.8888888888888888,9,8
U106375,U196001,0.0,0.0,0,0
U106375,U197686,0.0,0.0,0,0
U106375,U199930,0.05263157894736842,0.09090909090909091,1,1
U106375,U201416,0.0,0.0,0,0
U106375,U203077,0.0,0.0,0,0
U106375,U204263,0.0,0.0,0,0
U106375,U206787,0.05263157894736842,0.07692307692307693,1,1
